"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3854","User login with correct email and password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1489","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1","test_forgot_password_link","tests.pytest","2026-07-26","passed","2026-07-26","TestUserInterface","test_markers","",""
"","0","test_login","tests.pytest","2026-07-26","passed","2026-07-26","TestUserAuthorization","test_markers","",""
"","0","test_logout","tests.pytest","2026-07-26","passed","2026-07-26","TestUserAuthorization","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-07-26","passed","2026-07-26","TestUserAuthorization","test_markers","",""
"","1696","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1361","Check displaying of empty courses list","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-07-26","passed","2026-07-26","","test_markers","",""
"","2544","Registration with correct email, username and password","LMS system","2026-07-26","passed","2026-07-26","Registration","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-07-26","passed","2026-07-26","","test_markers","",""
"","3398","Edit course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1730","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","2011","Check displaying of dashboard page","LMS system","2026-07-26","passed","2026-07-26","Dashboard","Dashboard","",""
"","2618","Registration with correct email, username and password","LMS system","2026-07-26","passed","2026-07-26","Registration","Authentication","",""
"","1739","Check displaying of empty courses list","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","5164","Edit course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1474","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1641","Navigation from login page to registration page","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1904","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","11000","User login with correct email and password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1675","User login with wrong email or password","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
"","1871","Check displaying of dashboard page","LMS system","2026-07-26","passed","2026-07-26","Dashboard","Dashboard","",""
"","2993","Create course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","2681","Create course","LMS system","2026-07-26","passed","2026-07-26","Courses","Courses","",""
"","1335","Navigation from login page to registration page","LMS system","2026-07-26","passed","2026-07-26","Authorization","Authentication","",""
